userID,placeID,rating,food_rating,service_rating
1,57,0,1,1
1,58,1,2,1
1,7,3,1,1
1,55,1,1,1
1,22,2,1,1
1,28,0,1,1
1,27,4,1,1
1,30,4,2,2
1,52,1,1,2
2,41,4,1,1
2,12,4,2,1
2,45,4,1,1
2,22,3,2,0
2,50,3,1,1
2,27,3,2,2
2,55,2,2,1
2,53,2,1,0
2,11,3,1,2
2,34,5,1,1
3,22,3,0,0
3,31,3,2,1
3,4,3,2,2
3,2,5,2,2
3,54,4,1,1
3,12,1,2,1
3,47,0,2,2
3,27,2,2,1
3,14,1,2,1
3,1,2,1,2
3,44,3,2,2
3,43,1,2,2
3,42,4,2,2
4,1,5,1,1
4,11,5,2,2
4,53,5,2,2
4,45,4,2,1
4,59,2,2,2
4,23,0,2,2
4,14,1,2,2
4,21,5,2,2
5,44,0,2,1
5,38,0,2,1
5,47,5,1,0
5,58,0,1,1
5,13,3,1,1
5,8,3,2,1
5,52,5,2,0
5,33,0,1,2
5,34,5,1,2
6,23,1,1,1
6,10,2,1,1
6,41,3,2,2
6,15,5,2,2
6,32,0,1,2
6,47,1,0,1
6,38,2,1,2
6,54,2,1,1
6,4,3,1,2
6,48,1,1,2
6,44,1,2,2
7,8,4,1,1
7,11,3,1,2
7,14,5,2,1
7,27,3,2,0
7,42,4,1,1
7,38,3,1,0
7,30,4,0,0
7,59,1,1,1
7,53,2,1,0
8,47,2,1,1
8,36,4,2,1
8,25,4,2,1
8,28,5,1,0
8,3,2,1,1
8,5,2,1,1
8,15,1,1,1
8,33,3,1,1
8,14,3,1,1
9,24,2,2,1
9,56,3,1,2
9,10,4,1,1
9,8,2,1,1
9,38,5,2,1
9,48,4,1,2
9,39,0,2,2
9,18,4,1,0
9,17,2,1,0
9,16,2,0,0
9,7,1,2,2
10,52,5,1,1
10,32,5,0,0
10,41,3,0,0
10,58,3,2,0
10,29,1,1,1
10,51,4,1,1
10,23,2,2,2
10,4,2,2,2
11,46,5,2,1
11,45,2,1,1
11,52,1,1,0
12,10,1,1,2
12,17,4,2,2
12,27,3,2,2
12,57,4,2,2
12,12,3,2,2
13,21,4,1,1
13,56,4,1,1
13,22,3,2,0
13,51,1,1,0
13,55,0,2,1
13,35,3,2,1
13,24,3,1,0
13,34,0,2,1
13,27,2,2,2
13,40,5,1,0
14,10,5,2,1
14,21,4,0,1
14,51,2,2,2
14,31,5,1,1
14,4,1,0,2
14,44,5,2,2
14,56,5,0,0
14,54,5,1,0
14,35,4,1,2
14,59,2,2,1
14,14,1,0,0
15,40,5,0,0
15,7,5,1,1
15,46,4,1,1
15,60,3,0,1
15,19,3,1,1
15,9,1,2,2
15,44,0,1,1
15,32,3,1,2
16,5,4,2,2
16,37,5,2,2
16,4,1,2,2
16,48,2,2,2
16,41,2,2,2
16,12,3,2,2
16,17,1,2,2
16,34,5,2,2
16,14,4,2,0
16,19,3,2,2
16,35,0,2,2
16,16,0,2,0
16,11,0,2,2
17,15,5,1,1
17,41,1,1,1
17,3,1,0,1
18,2,3,0,0
18,18,1,2,2
18,17,5,1,1
18,13,2,1,0
18,29,3,1,1
18,26,4,1,1
18,24,4,0,1
18,46,0,1,1
18,20,4,1,1
18,49,4,0,1
19,38,5,0,0
19,25,3,0,0
19,42,3,0,0
19,26,2,0,0
19,8,3,0,0
19,54,4,0,0
19,36,2,0,0
19,50,3,0,0
19,5,2,0,0
20,13,0,2,0
20,47,3,2,2
20,20,0,1,1
20,11,5,2,1
21,1,1,2,1
21,34,1,2,2
21,19,2,2,1
22,45,1,0,0
22,39,2,1,2
22,20,2,0,0
22,60,0,1,2
22,25,0,2,2
22,43,3,1,2
22,21,3,2,2
22,35,0,1,2
22,42,3,2,1
22,19,2,1,1
22,50,2,1,1
22,15,1,2,2
22,22,0,2,1
22,57,2,1,2
23,53,1,0,0
23,17,0,0,0
23,18,2,0,0
23,21,4,2,2
24,15,0,1,1
24,2,5,1,1
24,54,5,2,1
24,26,2,1,0
24,3,5,0,2
24,21,2,2,2
24,16,5,2,2
24,28,4,2,0
24,22,1,2,0
24,36,4,2,0
24,13,1,1,0
24,43,3,1,1
24,57,3,1,0
24,8,0,1,1
24,12,3,1,1
25,51,3,1,2
25,54,0,1,1
25,4,0,1,1
25,19,4,2,2
25,57,0,0,0
25,9,0,0,0
25,52,0,1,0
25,24,2,1,1
25,58,1,2,2
25,41,5,2,2
25,30,3,2,2
26,47,2,2,2
26,50,0,1,1
26,3,3,2,0
26,57,2,0,0
26,18,3,2,2
27,42,4,0,0
27,58,0,1,1
27,48,0,1,1
27,45,0,1,1
27,12,1,1,1
27,10,2,1,1
27,25,4,1,1
27,3,4,1,1
27,34,5,1,1
27,16,2,1,1
27,44,2,1,1
28,35,2,1,1
28,8,2,1,1
28,37,3,1,0
28,20,4,1,1
28,12,1,2,2
28,1,4,0,0
28,28,5,2,2
29,41,2,1,1
29,55,0,1,1
29,6,4,1,1
29,24,3,1,1
29,57,3,1,0
29,11,3,0,0
29,59,0,1,0
29,16,2,1,1
29,33,3,1,1
29,28,5,1,1
30,5,4,2,2
30,45,1,2,2
30,26,3,0,1
30,51,0,0,0
30,21,2,0,0
30,6,0,0,0
30,58,0,0,0
30,11,3,0,0
31,43,5,0,0
31,60,1,0,0
31,3,2,0,0
32,22,0,1,1
32,49,4,1,0
32,19,5,2,0
32,7,1,1,1
32,4,5,1,0
32,34,1,1,0
32,40,5,1,0
32,14,0,1,0
32,27,2,1,1
32,47,4,0,0
33,45,4,1,1
33,6,5,1,1
33,25,3,2,2
33,4,1,1,1
33,56,1,1,2
33,57,5,1,0
33,29,0,0,0
33,40,5,1,1
33,19,1,1,0
33,59,0,1,1
33,26,4,1,1
34,16,5,1,1
34,19,2,0,0
34,33,0,0,1
34,10,3,0,0
34,13,5,0,0
34,1,5,1,1
35,17,5,2,1
35,54,5,1,2
35,20,1,0,2
35,25,2,2,2
35,34,4,1,2
35,26,4,2,2
36,53,1,2,2
36,41,1,2,1
36,29,4,2,2
36,53,5,2,2
36,1,3,2,2
36,3,1,2,2
36,43,4,2,2
36,27,3,2,2
36,34,4,2,2
36,8,5,2,2
36,51,4,0,0
36,31,4,2,2
37,1,0,1,1
37,56,3,0,0
37,19,1,0,0
37,31,0,0,0
37,16,3,2,2
37,34,5,1,1
37,24,3,2,2
37,50,3,0,0
37,55,3,1,2
37,18,0,2,1
37,14,1,2,0
