userID,placeID,rating,food_rating,service_rating
1,271,1,1,1
1,266,2,2,1
1,2526,0,1,1
1,2481,1,1,1
1,2480,1,1,1
1,2486,1,1,1
1,2474,1,1,1
1,2466,2,2,2
1,2492,1,1,2
2,362,2,1,1
2,2503,1,2,1
2,2547,1,1,1
2,266,2,2,0
2,2493,1,1,1
2,303,2,2,2
2,2500,1,2,1
2,2482,2,1,0
2,366,1,1,2
2,2526,1,1,1
3,2505,0,0,0
3,266,2,2,1
3,2516,2,2,2
3,303,1,2,2
3,2482,0,1,1
3,378,2,2,1
3,363,2,2,2
3,164,2,2,1
3,196,2,2,1
3,2521,2,1,2
3,2520,2,2,2
3,195,2,2,2
3,2500,2,2,2
4,2501,1,1,1
4,2469,2,2,2
4,2547,2,2,2
4,2503,2,2,1
4,2473,2,2,2
4,395,2,2,2
4,396,2,2,2
4,399,2,2,2
5,2491,1,2,1
5,2517,2,2,1
5,271,1,1,0
5,2507,2,1,1
5,2482,1,1,1
5,2498,1,2,1
5,2484,0,2,0
5,2483,2,1,2
5,2473,2,1,2
6,395,1,1,1
6,2520,1,1,1
6,316,2,2,2
6,2467,2,2,2
6,363,2,1,2
6,13,1,0,1
6,2516,1,1,2
6,266,1,1,1
6,2489,1,1,2
6,2471,1,1,2
6,325,2,2,2
7,2549,1,1,1
7,2498,1,1,2
7,2499,1,2,1
7,2526,1,2,0
7,2466,1,1,1
7,2473,1,1,0
7,2527,0,0,0
7,13,1,1,1
7,2479,1,1,0
8,307,1,1,1
8,299,1,2,1
8,295,2,2,1
8,2549,1,1,0
8,292,1,1,1
8,310,1,1,1
8,2510,1,1,1
8,287,1,1,1
8,2495,1,1,1
9,195,1,2,1
9,303,2,1,2
9,2501,1,1,1
9,2500,2,1,1
9,275,2,2,1
9,2499,1,1,2
9,2479,2,2,2
9,266,1,1,0
9,2493,2,1,0
9,2504,0,0,0
9,2520,1,2,2
10,2494,1,1,1
10,2499,1,0,0
10,2520,0,0,0
10,2505,0,2,0
10,2488,1,1,1
10,2506,1,1,1
10,2483,2,2,2
10,2517,1,2,2
11,158,2,2,1
11,5,1,1,1
11,156,1,1,0
12,2442,1,1,2
12,2424,2,2,2
12,2437,2,2,2
12,2427,2,2,2
12,2459,2,2,2
13,2520,1,1,1
13,2513,2,1,1
13,2526,1,2,0
13,2517,1,1,0
13,316,2,2,1
13,362,2,2,1
13,13,1,1,0
13,2516,2,2,1
13,392,2,2,2
13,2501,1,1,0
14,2517,1,2,1
14,2510,1,0,1
14,2491,2,2,2
14,2522,2,1,1
14,2498,1,0,2
14,2511,2,2,2
14,2484,1,0,0
14,2483,1,1,0
14,2507,2,1,2
14,271,2,2,1
14,2523,0,0,0
15,2512,0,0,0
15,286,1,1,1
15,307,0,1,1
15,311,0,0,1
15,2495,1,1,1
15,310,2,2,2
15,292,1,1,1
15,318,1,1,2
16,275,2,2,2
16,2483,1,2,2
16,2473,2,2,2
16,2547,2,2,2
16,297,2,2,2
16,2486,2,2,2
16,2501,2,2,2
16,2507,2,2,2
16,2526,2,2,0
16,2493,2,2,2
16,303,2,2,2
16,2492,2,2,0
16,2503,2,2,2
17,209,1,1,1
17,2416,2,1,1
17,2424,0,0,1
18,2484,0,0,0
18,2523,2,2,2
18,2522,1,1,1
18,2498,1,1,0
18,2507,1,1,1
18,2473,1,1,1
18,2503,0,0,1
18,2466,1,1,1
18,2510,0,1,1
18,2549,1,0,1
19,271,0,0,0
19,2517,0,0,0
19,2479,0,0,0
19,297,0,0,0
19,2520,0,0,0
19,362,0,0,0
19,275,0,0,0
19,2503,0,0,0
19,2527,0,0,0
20,2529,1,2,0
20,209,2,2,2
20,2437,1,1,1
20,2550,2,2,1
21,181,2,2,1
21,109,2,2,2
21,156,2,2,1
22,2481,0,0,0
22,2474,1,1,2
22,2466,0,0,0
22,2473,1,1,2
22,2498,2,2,2
22,2501,1,1,2
22,2493,2,2,2
22,2479,2,1,2
22,2522,0,2,1
22,2486,2,1,1
22,2492,2,1,1
22,2514,2,2,2
22,2503,1,2,1
22,2504,2,1,2
23,156,0,0,0
23,158,0,0,0
23,181,0,0,0
23,174,2,2,2
24,275,1,1,1
24,2547,1,1,1
24,2483,1,2,1
24,266,1,1,0
24,2501,1,0,2
24,2473,2,2,2
24,2480,2,2,2
24,2486,2,2,0
24,2468,1,2,0
24,2514,1,2,0
24,2492,1,1,0
24,2482,1,1,1
24,2479,1,1,0
24,2469,1,1,1
24,2471,1,1,1
25,307,2,1,2
25,318,1,1,1
25,288,2,1,1
25,2512,2,2,2
25,399,1,0,0
25,266,0,0,0
25,2469,2,1,0
25,2488,1,1,1
25,287,2,2,2
25,2505,2,2,2
25,271,2,2,2
26,67,2,2,2
26,2,1,1,1
26,147,0,2,0
26,95,0,0,0
26,106,2,2,2
27,2507,0,0,0
27,362,1,1,1
27,2493,1,1,1
27,378,1,1,1
27,392,1,1,1
27,366,1,1,1
27,313,1,1,1
27,316,1,1,1
27,2526,1,1,1
27,2483,1,1,1
27,2503,1,1,1
28,173,1,1,1
28,174,1,1,1
28,2545,0,1,0
28,181,1,1,1
28,71,2,2,2
28,104,0,0,0
28,54,2,2,2
29,2488,1,1,1
29,2500,2,1,1
29,378,1,1,1
29,2526,1,1,1
29,275,0,1,0
29,195,0,0,0
29,266,1,1,0
29,362,1,1,1
29,303,1,1,1
29,363,1,1,1
30,2459,2,2,2
30,2427,2,2,2
30,2529,1,0,1
30,2457,0,0,0
30,208,0,0,0
30,2460,0,0,0
30,2550,0,0,0
30,2437,0,0,0
31,104,0,0,0
31,106,0,0,0
31,109,0,0,0
32,313,1,1,1
32,2499,2,1,0
32,2520,2,2,0
32,2526,1,1,1
32,2483,0,1,0
32,297,1,1,0
32,2479,1,1,0
32,275,1,1,0
32,2501,1,1,1
32,2473,0,0,0
33,2506,1,1,1
33,2469,2,1,1
33,2526,2,2,2
33,2487,2,1,1
33,2486,2,1,2
33,392,2,1,0
33,13,1,0,0
33,362,2,1,1
33,2516,2,1,0
33,2479,1,1,1
33,2471,2,1,1
34,2527,1,1,1
34,2490,0,0,0
34,164,1,0,1
34,325,0,0,0
34,2496,0,0,0
34,2476,1,1,1
35,2459,1,2,1
35,214,2,1,2
35,24,1,0,2
35,2441,2,2,2
35,2437,2,1,2
35,2427,2,2,2
36,275,1,2,2
36,2505,2,2,1
36,2520,2,2,2
36,2483,2,2,2
36,2526,2,2,2
36,2466,2,2,2
36,266,2,2,2
36,2500,2,2,2
36,2493,2,2,2
36,195,2,2,2
36,2506,0,0,0
36,2486,2,2,2
37,2495,2,1,1
37,2523,0,0,0
37,2511,0,0,0
37,286,0,0,0
37,2549,2,2,2
37,288,1,1,1
37,271,2,2,2
37,2512,1,0,0
37,310,1,1,2
37,292,2,2,1
37,295,1,2,0
38,295,1,2,2
38,297,0,1,1
38,299,0,2,1
38,302,1,1,2
38,303,2,2,2
39,67,2,2,1
39,5,1,1,2
39,106,1,1,2
40,214,1,1,1
40,2440,1,1,1
40,2454,2,2,2
40,2460,1,2,1
41,2442,1,1,1
41,2424,2,2,2
41,2462,2,2,2
41,2433,2,2,2
41,209,2,2,1
41,2550,1,2,1
42,209,2,2,1
42,2462,1,2,0
42,2437,2,2,2
42,2427,2,2,2
42,2433,1,2,1
43,49,1,1,1
43,50,1,2,1
43,54,1,1,1
43,173,1,1,1
43,71,1,1,1
44,2529,2,2,2
44,24,1,2,1
44,2428,0,0,0
44,2427,2,2,2
44,209,2,2,2
45,266,2,1,1
45,2505,0,0,0
45,297,1,2,2
45,2526,2,2,2
45,2473,0,0,0
45,275,1,1,1
45,2493,1,2,2
45,2501,2,2,2
45,2492,2,2,2
45,2482,1,2,1
46,2467,1,0,2
46,2485,1,1,0
46,2506,2,2,2
46,362,2,1,2
46,2526,1,2,1
46,13,1,2,0
46,2499,2,2,1
46,392,1,1,2
46,302,1,2,2
47,316,0,0,0
47,318,0,0,0
47,325,0,0,0
48,2490,1,0,2
48,2467,2,2,2
48,2475,2,2,1
48,2489,0,1,0
48,2506,2,2,0
48,196,2,2,2
48,164,2,2,2
49,266,0,0,0
49,2482,0,0,0
49,362,0,0,0
49,2483,0,0,0
49,2473,0,0,0
49,2492,0,0,0
49,2526,0,0,0
49,303,0,0,0
49,2493,0,0,0
50,173,0,1,1
50,50,0,0,0
50,49,0,0,0
50,1,0,2,0
50,181,0,2,0
50,35,0,2,0
50,25,0,0,0
51,2529,1,1,1
51,2550,1,1,1
51,209,1,2,1
51,2437,1,1,2
52,292,1,0,2
52,307,2,2,1
52,310,2,2,1
52,311,1,1,1
53,2517,1,1,1
53,2473,2,2,1
53,266,1,2,0
53,2504,2,1,2
53,2483,2,1,2
53,2494,2,2,0
53,195,1,2,1
53,2522,2,2,1
53,2466,2,1,2
53,2479,2,1,2
53,2501,2,2,1
53,2503,2,1,1
53,2488,2,2,2
54,2503,2,2,0
54,2501,2,2,2
54,2480,2,2,1
54,2493,2,2,1
54,297,2,2,2
54,2492,2,2,0
54,2466,2,2,2
54,2482,2,2,2
54,2479,2,1,1
54,2473,1,1,1
54,2486,2,1,2
55,2492,1,2,2
55,2516,2,2,2
55,13,2,2,2
55,2469,2,2,2
55,2466,2,2,2
55,2547,2,2,2
55,2489,2,2,2
55,2488,2,2,2
55,195,2,2,2
55,266,2,2,2
56,2507,2,2,2
56,2491,0,0,0
56,2517,2,2,2
56,2522,2,2,2
56,2503,2,2,2
56,2468,2,2,2
56,2526,2,2,2
56,2493,2,2,2
56,266,2,2,2
56,2492,2,2,2
57,2511,1,1,1
57,2484,1,1,1
57,395,1,0,0
57,2521,1,1,0
57,266,1,1,0
57,2505,1,1,0
57,2487,1,0,0
57,303,1,0,0
57,2516,0,1,1
57,2471,1,0,1
57,275,1,0,1
58,2517,2,2,2
58,2484,1,2,2
58,2499,2,2,0
58,2494,2,1,1
58,326,1,1,1
58,2491,1,0,0
58,313,2,2,1
58,2507,1,1,1
58,2503,2,2,2
58,2496,2,2,2
59,2505,1,1,0
59,2516,2,2,1
59,2469,1,1,1
59,396,2,1,2
59,2485,2,1,1
59,303,0,0,0
59,2526,2,2,2
59,2471,2,2,2
59,266,2,1,1
59,195,2,2,2
60,5,2,2,2
60,158,2,2,2
60,174,2,1,2
60,181,1,2,1
61,266,1,2,1
61,2489,2,2,2
61,362,1,2,1
61,2467,2,2,2
61,164,2,2,1
61,2516,2,2,2
61,2475,2,2,2
61,2482,2,2,2
61,2487,1,2,1
61,13,1,2,2
61,2499,1,1,1
61,275,1,2,1
61,2527,1,1,2
61,195,2,2,2
61,2521,2,2,2
61,396,2,2,2
61,399,2,2,2
61,395,2,1,2
62,313,0,0,0
62,2526,0,0,0
62,2494,0,0,0
62,266,0,0,0
62,2493,0,0,0
62,2503,0,0,0
62,2479,0,0,0
62,2486,0,0,0
62,275,0,0,0
63,101,2,2,2
63,25,2,1,1
63,50,1,0,1
63,2545,1,2,1
63,108,1,2,1
64,2483,1,2,1
64,2498,1,1,2
64,2510,0,0,1
64,2501,1,0,1
64,2493,2,0,2
65,67,1,0,1
65,147,2,1,2
65,106,1,1,1
65,2,1,1,1
65,95,1,1,1
66,2452,1,2,2
66,2440,1,1,1
66,2460,2,1,0
66,208,1,2,1
66,2454,1,2,2
67,25,2,2,2
67,174,1,1,1
67,173,1,2,2
67,71,1,0,1
67,2545,0,0,0
67,1,1,0,0
68,2545,1,1,2
68,181,0,0,0
68,104,1,1,1
68,173,0,0,0
68,71,1,1,1
68,174,1,1,0
68,35,1,1,1
68,101,0,0,0
69,2511,0,0,0
69,2523,0,0,0
69,2549,0,0,0
69,299,0,0,0
69,2510,0,0,0
